labels,words
Element,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Software, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Quelltext, Compiler, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Texteditor, Compilezeit, Einarbeitungszeit, Zeit, Workflow-management, Veränderungsmanagement, Management, Arbeit, Verfahren, Fehler, Programmteil, Teil, Entwicklung, Befehlsfolge, Folge, Programmstelle, Stelle, Funktionsblock, Anweisungsblock, Debugger, Dateiendung, Endung, Verarbeitungsvorschrift, Vorschrift, Rechenoperation, Operation, Speicheradresse, Adresse, Zeitraum, Urheberrechtsrichtlinie, Richtlinie, Art"
Folge,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Code, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Rechner, Quelltext, Jit-compiler, Precompiler, Java-compiler, Compiler, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Programm-quellcode, Quellcode, Texteditor, Compilezeit, Einarbeitungszeit, Zeit, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Verfahren, Syntaxfehler, Fehler, Schritt, Anwendung, Neuentwicklung, Entwicklung, Sprache, Dateiversion, Version, Befehlsfolge, Lösung, Programmstelle, Stelle, Debugger, Übersetzungsvorgang, Vorgang, Zeitraum, Software-lebenszyklus, Produktlebenszyklus, Art, Speicherverbrauch, Ressourcenverbrauch"
Taxon,"Code, Anweisung, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Foreach-schleife, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Unix-anwendung, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Auszeichnungssprache, Sprache, Version, Stelle, Quelltextformatierung, Formatierung, Dokumentation, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Speicheradresse, Adresse, Schutzfähigkeit, Lauffähigkeit, Prozessortyp, Cpu-typ, Assemblersprache, Fehlerart, Art"
Eigenschaft,"Code, Anweisung, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Quellcode-portabilität, Portabilität, Neuentwicklung, Entwicklung, Auszeichnungssprache, Sprache, Stelle, Funktionsblock, Anweisungsblock, Formatierung, Dokumentation, Softwarequalität, Qualität, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Speicheradresse, Adresse, Schutzfähigkeit, Lauffähigkeit, Assemblersprache, Fehlerart, Art"
Gesamtheit,"Anweisung, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Hilfetext, Programmtext, N{\text, Text, Erstellungsmöglichkeit, Klassifizierungsmöglichkeit, Verwechslungsmöglichkeit, Möglichkeit, Quellcode, Algorithmus, Endgerät, Programmiergerät, Gerät, Management, Analyse, Foreach-schleife, Schleife, Teamarbeit, Programmierarbeit, Arbeit, Patch, Microcomputer, Computer, Programmteil, Teil, Anwendung, Entwicklung, Programmpaket, Paket, Auszeichnungssprache, Sprache, Folge, Lösung, Stelle, Test, Ziel, Quelltextformatierung, Formatierung, Dokumentation, Webseite, Programmierstil, Einrückungsstil, Langzeitverhalten, Verhalten, Software-dokument, Entwurfsdokument, Prinzip, Online-verbindung, Verbindung, Verarbeitungsvorschrift, Vorschrift, Operation, Sicht, Urheberrechtsrichtlinie, Richtlinie, Assemblersprache"
Gegenstand,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Software, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Compiler, Hilfetext, Programmtext, N{\text, Text, Quellcode, Plattform, Texteditor, Compilezeit, Einarbeitungszeit, Zeit, Endgerät, Programmiergerät, Gerät, Workflow-management, Veränderungsmanagement, Management, Teamarbeit, Programmierarbeit, Arbeit, Verfahren, Microcomputer, Computer, Syntaxfehler, Fehler, Programmteil, Teil, Entwicklung, Befehlsfolge, Folge, Programmstelle, Stelle, Bauziel, Ziel, Funktionsblock, Anweisungsblock, Debugger, Werkzeug, Stellung, Rechenoperation, Operation, Speicheradresse, Adresse, Zeitraum, Art"
Aufbau,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Foreach-schleife, Schleife, Arbeit, Computer, Oberflächenform, Form, Rechenschritt, Schritt, Unix-anwendung, Anwendung, Paket, Auszeichnungssprache, Sprache, Version, Quelltextformatierung, Formatierung, Programmstruktur, Datumenstruktur, Untervariante, Variante, Vorschrift, Speicheradresse, Adresse, Prozessortyp, Cpu-typ, Art"
System,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Anweisung, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, Hilfetext, Programmtext, N{\text, Text, Programm-quellcode, Quellcode, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Microcomputer, Computer, Fehler, Oberflächenform, Form, Unabhängigkeit, Teil, Programmausführung, Ausführung, Entwicklung, Datei, Auszeichnungssprache, Sprache, Version, Folge, Programmstelle, Stelle, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Variante, Quelltextdaten, Eingabedaten, Hilfsvariable, Zeigervariable, Assemblersprache, Fehlerart, Art"
Text,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Anweisung, Funktion, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Programm-quellcode, Quellcode, Plattform, Methode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Arbeit, Verfahren, Computer, Syntaxfehler, Fehler, Form, Rechenschritt, Schritt, Unix-anwendung, Anwendung, Ausführung, Auszeichnungssprache, Sprache, Dateiversion, Version, Programmstelle, Stelle, Programmstruktur, Datumenstruktur, Stellung, Prozessortyp, Cpu-typ, Fehlerart, Art"
Bezeichnung,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Software, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Quelltext, Compiler, Hilfetext, Programmtext, N{\text, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Texteditor, Zeit, Management, Syntaxfehler, Fehler, Programmteil, Teil, Entwicklung, Befehlsfolge, Folge, Programmstelle, Stelle, Funktionsblock, Anweisungsblock, Debugger, Dateiendung, Endung, Verarbeitungsvorschrift, Vorschrift, Operation, Adresse, Hilfsvariable, Zeigervariable, Richtlinie"
Gattung,"Code, Anweisung, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Auszeichnungssprache, Sprache, Stelle, Formatierung, Dokumentation, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Adresse, Schutzfähigkeit, Lauffähigkeit, Assemblersprache, Fehlerart, Art"
Grundeinheit,"Code, Anweisung, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Auszeichnungssprache, Sprache, Stelle, Formatierung, Dokumentation, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Adresse, Schutzfähigkeit, Lauffähigkeit, Assemblersprache, Fehlerart, Art"
Konzeption,"Code, Anweisung, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Hilfetext, Programmtext, N{\text, Text, Umgebung, Quellcode, Cross-plattform, Zielplattform, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Management, Server-bereich, Desktop-bereich, Bereich, Schleife, Arbeit, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Plattformunabhängigkeit, Unabhängigkeit, Anwendung, Programmausführung, Ausführung, Neuentwicklung, Entwicklung, Auszeichnungssprache, Sprache, Stelle, Formatierung, Dokumentation, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Kompilieren, Konfigurieren, Untervariante, Variante, Adresse, Schutzfähigkeit, Lauffähigkeit, Assemblersprache, Fehlerart, Art"
Vorgang,"Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Maschinenbefehl, Aufrufbefehl, Prozessorbefehl, Vergleichsbefehl, Befehl, Anwendungssystem, Rechnersystem, Zielsystem, System, Umgebung, Cross-plattform, Zielplattform, Plattform, Phase, Server-bereich, Desktop-bereich, Bereich, Schleife, Newton-verfahren, Iterationsverfahren, Verfahren, Syntaxfehler, Fehler, Oberflächenform, Form, Rechenschritt, Schritt, Anwendung, Neuentwicklung, Entwicklung, Programmpaket, Paket, Sprache, Problemlösung, Lösung, Stelle, Formatierung, Dokumentation, Programmierstil, Einrückungsstil, Übersetzungsvorgang, Programmstruktur, Datumenstruktur, Untervariante, Variante, Verarbeitungsvorschrift, Vorschrift, Adresse, Richtlinie"
Relation,"Code, Sql-anweisung, Originalanweisung, Quellcodeanweisung, Ausgabeanweisung, Ablaufanweisung, Schleifenkontrollanweisung, Anweisung, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Befehl, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Umgebung, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Phase, Gerät, Management, Server-bereich, Desktop-bereich, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Schritt, Unabhängigkeit, Teil, Programmausführung, Ausführung, Entwicklung, Paket, Auszeichnungssprache, Sprache, Bauziel, Ziel, Werkzeug, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Variante, Vorschrift, Fehlerart, Art"
Konzept,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Quelloffene-software, Open-source-software, Individualsoftware, Anwendungssoftware, Software, Betriebssystemfunktion, Programmfunktion, Fehlfunktion, Sinusfunktion, Funktion, Quelltext, Jit-compiler, Precompiler, Java-compiler, Compiler, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Quellcode, Texteditor, Foreach-schleife, Schleife, Computer, Fehler, Auszeichnungssprache, Sprache, Lösung, Programmstelle, Stelle, Ziel, Programmierdokumentation, Dokumentation, Debugger, Annuitätsprinzip, Prinzip, Rechnerkonzept, Art"
Fassung,"Zwischencode, Maschinencode, Zielcode, Html-code, Bytecode, Code, Anweisung, Funktion, Arbeitsplatzrechner, Edvac-rechner, Edsac-rechner, Großrechner, Rechner, Quelltext, Anwendungssystem, Rechnersystem, Zielsystem, System, Text, Rechnerumgebung, Hardwareumgebung, Programmierumgebung, Umgebung, Quellcode, Plattform, Methode, Compilezeit-phase, Projektphase, Phase, Server-bereich, Desktop-bereich, Bereich, Arbeit, Verfahren, Computer, Form, Rechenschritt, Schritt, Unix-anwendung, Anwendung, Ausführung, Auszeichnungssprache, Sprache, Dateiversion, Version, Programmstruktur, Datumenstruktur, Stellung, Kompilieren, Konfigurieren, Prozessortyp, Cpu-typ, Fehlerart, Art"
Einheit,"Funktion, Rechner, Quelltext, System, Text, Umgebung, Plattform, Entwicklungsmethode, Iterationsmethode, Methode, Compilezeit, Einarbeitungszeit, Zeit, Phase, Workflow-management, Veränderungsmanagement, Management, Bereich, Newton-verfahren, Iterationsverfahren, Verfahren, Oberflächenform, Form, Rechenschritt, Schritt, Unabhängigkeit, Programmausführung, Ausführung, Entwicklung, Programmpaket, Paket, Auszeichnungssprache, Sprache, Stelle, Vorgang, Programmstruktur, Datumenstruktur, Aufgabenstellung, Stellung, Variante, Hilfsvariable, Zeigervariable, Ausführungszeitraum, Zeitraum, Programm-inhalt, Inhalt, Prozessortyp, Cpu-typ, Fehlerart, Art"
Kleidungsstück,"Unterprogramm, Maschinenprogramm, Hauptprogramm, Stapelprogramm, Dialogprogramm, Systemprogramm, Dienstprogramm, Binärprogramm, Anwenderprogramm, Programm, Software, Quelltext, Compiler, Hilfetext, Programmtext, N{\text, Text, Quellcode, Texteditor, Compilezeit, Einarbeitungszeit, Zeit, Workflow-management, Veränderungsmanagement, Management, Foreach-schleife, Schleife, Arbeit, Verfahren, Fehler, Programmteil, Teil, Entwicklung, Befehlsfolge, Folge, Programmstelle, Stelle, Funktionsblock, Anweisungsblock, Debugger, Rechenoperation, Operation, Speicheradresse, Adresse, Zeitraum, Art"
