,labels,words
10,Teil,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Phase, Spülxylolablauf, Destillatablauf, Ablauf, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Einsteckrohr, Tauchrohr, Lochscheibe, Steckscheibe, Phasenversteller, Phaseneinsteller, Schichtende, Ende, Warmwasserüberlauf, Diazoeinlauf, Saugstutzen, Abgasstutzen, Mannlochdeckel, Deckel, Aufsatzkolonne, Kolonne, Probe, Rest, Zeit, Wasser, Wärmekammer, Grund"
11,Klasse,"Phase, Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Streichdampf, Dampf, Frischansatz, Ansatz, Phasenversteller, Phaseneinsteller, Pulversystem, System, Wert, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf, Aufsatzkolonne, Kolonne, Kontrollieren, Anfahren, Betrieb, Probe, Rest, Ordnung, Einlauf, Bühne, Wasser, Restmenge, Wärmekammer, Grund, Teilmenge"
12,Einheit,"Ventil, Phase, Anlage, Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Spülxylolablauf, Destillatablauf, Ablauf, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Dampf, Frischansatz, Ansatz, Gleitringeinheit, Gleiteinheit, System, Etiketten-druck, Druck, Wert, Status, Aufsatzkolonne, Kolonne, Betrieb, Probe, Rest, Ordnung, Zeit, Einlauf, Inhalt, Wasser, Restmenge, Grund, Teilmenge"
13,Zahl,"Container, Ventil, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Anzeige, Dampf, Ansatz, Lochscheibe, Steckscheibe, System, Xyloldestillat, Destillat, Schichtende, Ende, Sollwert, Wert, Saugstutzen, Abgasstutzen, Deckel, Aufsatzkolonne, Kolonne, Rest, Ordnung, Wasser, Restmenge, Fass, Grund, Teilmenge"
14,Vorrichtung,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Überfüllsonde, Trockenlaufsonde, Sonde, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Einsteckrohr, Tauchrohr, Temperaturanzeige, Anzeige, System, Motor, Mannlochdeckel, Deckel, Vakuummaschine, Flashtopf"
15,Bereich,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Soll-menge, Umpumpmenge, Menge, Glas, Schlauchlager, Tanklager, Lager, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Ansatz, Begleitheizung, Begleitbeheizung, Pumpengehäuse, Gehäuse, Förderleistung, Pumpenleistung, System, Einsaugvorrichtung, Auffangvorrichtung, Status, Muennich, Münnich, Betrieb, Probe, Rest, Bühne, Restmenge, Wärmekammer, Teilmenge"
16,Technik,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Anlage, Sonde, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Temperaturanzeige, Anzeige, Frischansatz, Ansatz, Phasenversteller, Phaseneinsteller, Pumpenmotor, Motor, Mannlochdeckel, Deckel, Vakuummaschine, Flashtopf, Reparatur"
17,Art,"Pumpe, Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Anlage, Überfüllsonde, Trockenlaufsonde, Sonde, Lager, Hechtfilter, Polizeifilter, Filter, Stand, Frischansatz, Ansatz, Begleitheizung, Begleitbeheizung, Gehäuse, Pulversystem, System, Einsaugvorrichtung, Auffangvorrichtung, Motor, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf, Kontrollieren, Anfahren, Vakuummaschine, Betrieb, Probe, Ordnung, Einlauf, Kupplung"
18,Produkt,"Pumpe, Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Container, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Schauglas, Einlaufschauglas, Glas, Hechtfilter, Polizeifilter, Filter, Stand, Temperaturanzeige, Anzeige, Xyloldestillat, Destillat, Saugstutzen, Abgasstutzen, Mannlochdeckel, Deckel, Fass"
19,Vielzahl,"Phase, Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Streichdampf, Dampf, Ansatz, Phasenversteller, Phaseneinsteller, Pulversystem, System, Wert, Aufsatzkolonne, Kolonne, Rest, Ordnung, Bühne, Wasser, Restmenge, Wärmekammer, Grund, Teilmenge"
20,Ort,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Soll-menge, Umpumpmenge, Menge, Glas, Schlauchlager, Tanklager, Lager, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Ansatz, Begleitheizung, Begleitbeheizung, Förderleistung, Pumpenleistung, Pulversystem, System, Einsaugvorrichtung, Auffangvorrichtung, Gesamtstatus, Status, Betrieb, Probe, Rest, Bühne, Restmenge, Wärmekammer, Teilmenge"
21,Gefäß,"Destillatablaufleitung, Umpumpleitung, Entlüftungsleitung, Ablaufleitung, Abgasleitung, Disulfatisierungsleitung, Saugleitung, Druckleitung, Einlaufleitung, Leitung, Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Container, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Schauglas, Einlaufschauglas, Glas, Überfüllsonde, Trockenlaufsonde, Sonde, Schlauchlager, Tanklager, Lager, Sieb, Flashtopf, Fass"
22,Ordnung,"Pumpe, Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Anlage, Überfüllsonde, Trockenlaufsonde, Sonde, Lager, Hechtfilter, Polizeifilter, Filter, Stand, Frischansatz, Ansatz, Gehäuse, Pulversystem, System, Motor, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf, Kontrollieren, Anfahren, Vakuummaschine, Betrieb, Probe, Einlauf, Kupplung"
23,Ergebnis,"Container, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Standmessung, Leitfähigkeitsmessung, Messung, Glas, Filter, Anzeige, Förderleistung, Pumpenleistung, Xyloldestillat, Destillat, Mengenüberwachung, Xylolüberwachung, Etiketten-druck, Druck, Saugstutzen, Abgasstutzen, Deckel, Probe, Fass, Kondensat, Dichte"
24,Plural,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Menge, Schlauchlager, Tanklager, Lager, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Förderleistung, Pumpenleistung, System, Etiketten-druck, Druck, Einsaugvorrichtung, Auffangvorrichtung, Status, Betrieb, Probe, Bühne, Wasser, Wärmekammer, Rückfluss"
25,Röhre,"Destillatablaufleitung, Umpumpleitung, Entlüftungsleitung, Ablaufleitung, Abgasleitung, Disulfatisierungsleitung, Saugleitung, Druckleitung, Einlaufleitung, Leitung, Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Container, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Schauglas, Einlaufschauglas, Glas, Überfüllsonde, Trockenlaufsonde, Sonde, Lager, Sieb, Flashtopf, Fass"
26,Raum,"Soll-menge, Umpumpmenge, Menge, Schauglas, Einlaufschauglas, Glas, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Dampf, Frischansatz, Ansatz, System, Status, Kolonne, Probe, Rest, Ordnung, Einlauf, Bühne, Wasser, Restmenge, Wärmekammer, Grund, Teilmenge"
27,Raumzeit,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Soll-menge, Umpumpmenge, Menge, Messung, Glas, Spülxylolablauf, Destillatablauf, Ablauf, Schlauchlager, Tanklager, Lager, Filter, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Ansatz, Druck, Betrieb, Rest, Zeit, Bühne, Restmenge, Wärmekammer, Teilmenge, Rückfluss"
28,Behälter,"Destillatablaufleitung, Umpumpleitung, Entlüftungsleitung, Ablaufleitung, Abgasleitung, Disulfatisierungsleitung, Saugleitung, Druckleitung, Einlaufleitung, Leitung, Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Container, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Schauglas, Einlaufschauglas, Glas, Sonde, Schlauchlager, Tanklager, Lager, Sieb, Flashtopf, Fass"
29,Flüssigkeit,"Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Standmessung, Leitfähigkeitsmessung, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Rein-ethanol, Roh-ethanol, Ethanol, Schlauchlager, Tanklager, Lager, Etiketten-druck, Druck, Sperrflüssigkeit, Betrieb, Probe, Zeit, Einlauf, Wasser, Extraktion, Dichte, Rückfluss"
30,Ablauf,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Standmessung, Leitfähigkeitsmessung, Messung, Spülxylolablauf, Destillatablauf, Förderleistung, Pumpenleistung, Etiketten-druck, Druck, Betrieb, Probe, Zeit, Extraktion, Dichte, Rückfluss"
31,Material,"Destillatablaufleitung, Umpumpleitung, Entlüftungsleitung, Ablaufleitung, Abgasleitung, Disulfatisierungsleitung, Saugleitung, Druckleitung, Einlaufleitung, Leitung, Schauglas, Einlaufschauglas, Glas, Überfüllsonde, Trockenlaufsonde, Sonde, Schlauchlager, Tanklager, Lager, Hechtfilter, Polizeifilter, Filter, Gleitringdichtung, Dichtung, Mulm"
32,Gefüge,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Pulversystem, System, Pumpenmotor, Motor, Vakuummaschine, Kupplung"
33,Schema,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Pulversystem, System, Pumpenmotor, Motor, Vakuummaschine, Kupplung"
34,Organisation,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Pulversystem, System, Pumpenmotor, Motor, Vakuummaschine, Kupplung"
35,System,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Pulversystem, Pumpenmotor, Motor, Vakuummaschine, Kupplung"
36,Beendigung,"Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Standmessung, Leitfähigkeitsmessung, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Schichtende, Ende, Etiketten-druck, Druck, Betrieb, Probe, Zeit, Extraktion, Dichte, Rückfluss"
37,Kanton,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Menge, Schlauchlager, Tanklager, Lager, Anlagenstand, Stand, Kupplungsreaktor, Kupplungreaktor, Förderleistung, Pumpenleistung, System, Einsaugvorrichtung, Auffangvorrichtung, Status, Betrieb, Probe, Bühne, Wärmekammer"
38,Handlung,"Vakuumanlage, Vakuum-anlage, Marlothermanlage, Anlage, Standmessung, Leitfähigkeitsmessung, Messung, Temperaturanzeige, Anzeige, Begleitheizung, Begleitbeheizung, Förderleistung, Pumpenleistung, Pulversystem, System, Mengenüberwachung, Xylolüberwachung, Einsaugvorrichtung, Auffangvorrichtung, Probe, Reparatur, Versuch"
39,Eigenschaft,"Phase, Sonde, Hechtfilter, Polizeifilter, Filter, Anlagenstand, Stand, Frischansatz, Ansatz, Pulversystem, System, Gesamtstatus, Status, Warmwasserüberlauf, Diazoeinlauf, Kontrollieren, Anfahren, Betrieb, Probe, Ordnung, Einlauf, Auffälligkeit"
40,Prozess,"Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Standmessung, Leitfähigkeitsmessung, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Etiketten-druck, Druck, Muennich, Münnich, Betrieb, Probe, Zeit, Extraktion, Dichte, Rückfluss"
41,Ganzes,"Soll-menge, Umpumpmenge, Menge, Glas, Ablauf, Lager, Filter, Anlagenstand, Stand, Ansatz, Gleitringeinheit, Gleiteinheit, Druck, Kolonne, Betrieb, Rest, Zeit, Inhalt, Wasser, Restmenge, Teilmenge"
42,Truppenteil,"Soll-menge, Umpumpmenge, Menge, Glas, Ablauf, Lager, Filter, Anlagenstand, Stand, Ansatz, Gleitringeinheit, Gleiteinheit, Druck, Kolonne, Betrieb, Rest, Zeit, Inhalt, Wasser, Restmenge, Teilmenge"
43,Zeichen,"Behälter, Soll-menge, Umpumpmenge, Menge, Glas, Filter, Stand, Frischansatz, Ansatz, Xyloldestillat, Destillat, Ende, Sollwert, Wert, Aufsatzkolonne, Kolonne, Rest, Restmenge, Grund, Teilmenge"
44,Jura,"Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Standmessung, Leitfähigkeitsmessung, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Etiketten-druck, Druck, Betrieb, Probe, Zeit, Extraktion, Dichte, Rückfluss"
45,Zustand,"Phase, Sonde, Filter, Frischansatz, Ansatz, Begleitheizung, Begleitbeheizung, Förderleistung, Pumpenleistung, Pulversystem, System, Einsaugvorrichtung, Auffangvorrichtung, Status, Warmwasserüberlauf, Diazoeinlauf, Betrieb, Probe, Ordnung, Einlauf"
46,Container,"Leitung, Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Schauglas, Einlaufschauglas, Glas, Lager, Sieb, Flashtopf, Fass"
47,Abstände,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Ethanol, Lager, Druck, Sperrflüssigkeit, Flüssigkeit, Betrieb, Zeit, Einlauf, Wasser, Rückfluss"
48,Vorgang,"Bodenventil, Druckluftventil, Ablassventil, Abpumpventil, Taktungsventil, Regelventil, Ventil, Standmessung, Leitfähigkeitsmessung, Messung, Förderleistung, Pumpenleistung, Etiketten-druck, Druck, Warmwasserüberlauf, Diazoeinlauf, Probe, Extraktion, Dichte"
49,Zeit,"Ventil, Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Standmessung, Leitfähigkeitsmessung, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Etiketten-druck, Druck, Betrieb, Probe, Extraktion, Dichte, Rückfluss"
50,Fahrzeug,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Kontrollieren, Anfahren, Vakuummaschine"
51,Glied,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Einsteckrohr, Tauchrohr, Warmwasserüberlauf, Diazoeinlauf, Wärmekammer"
52,Hardware,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Phasenversteller, Phaseneinsteller, Pumpenmotor, Motor, Vakuummaschine"
53,Transportbehälter,"Lösemittel-container, Lösemittelcontainer, Mulmcontainer, Mulm-container, Dmf-container, Safener-container, Lömi-container, Container, Auslagerungsbehälter, Abwassersammelbehälter, Fällbehälter, Behälter, Schauglas, Einlaufschauglas, Glas, Fass"
54,Wert,"Behälter, Soll-menge, Umpumpmenge, Menge, Glas, Filter, Stand, Xyloldestillat, Destillat, Ende, Sollwert, Kolonne, Rest, Restmenge, Grund, Teilmenge"
55,Abschnitt,"Oberphase, Wasserphase, Mulmphase, Xylolphase, Phase, Messung, Spülxylolablauf, Destillatablauf, Ablauf, Anlagenstand, Stand, Druck, Betrieb, Zeit, Rückfluss"
56,Flugzeug,"Diazotiererpumpe, Flüssigkeitsringpumpe, Probenahmepumpe, Diazopumpe, Roh-safener-extraktions-pumpe, Extraktionspumpe, Hw-pumpe, Spülxylolpumpe, Marlothermpumpe, Sumpfaustragspumpe, Vorlagepumpe, Pumpe, Pumpenmotor, Motor, Vakuummaschine"
