labels,words
Ort,"Fahrt, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Strandaufenthalt, Aufenthalt, Schulbusschild, Schild, Roman, Schulverein, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Verbindung, Tramper-bewegung, Hippie-bewegung, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Reiseart, Art, Gastfamilie, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Land, Deutschland, Teil, Transportmittel, Ziel, Wohnung, Privatwirtschaft, Schiff, Reiseziel, Mensch, Arbeitsstätte, Österreich, Schweiz, Information, Frau, Soldat, Welt, Erledigung, Dienststelle, Bestandteil, Bestimmung, Bahn, Richtung, Gruppe, Übernachtung, Stelle"
Teil,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Schulprogramm, Fahrtenprogramm, Programm, Regelarbeitszeit, Arbeitszeit, Jahr, Außendienst, Dienst, Wegzeit, Zeit, Ort, Reisedauer, Dauer, Weltreiseführer, Reiseführer, Tätigkeit, Schulbusschild, Schild, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Generation, Reisegrund, Grund, Arbeitsanweisung, Dienstanweisung, Gefährdungsbeurteilung, Beurteilung, Reiseart, Art, Woche, Gastfamilie, Familie, Inselsberg, Berg, Dienstreise, Land, Deutschland, Bedeutung, Europa, Privatwirtschaft, Tag, Kontinent, Zahl, Jahrhundert, Mensch, Unternehmen, Monat, Österreich, Schweiz, Band, Verb, Information, Frau, Geschichte, Abenteuer, Gesellschaft, Asien, Welt, Richter, Beginn, Bundesland, Bestandteil, Bestimmung, Bahn, Milliarde, Stelle"
Bereich,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Arbeitsleistung, Regelleistung, Leistung, Vorphase, Anfangphase, Hochphase, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schulbusschild, Schild, Roman, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Unterhaltungsbetrieb, Betrieb, Reiseart, Art, Gastfamilie, Familie, Inselsberg, Berg, Dienstreise, Land, Deutschland, Teil, Transportmittel, Wohnung, Europa, Schiff, Kontinent, Reiseziel, Jahrhundert, Mensch, Arbeitsstätte, Österreich, Schweiz, Information, Frau, Geschichte, Soldat, Asien, Erledigung, Dienststelle, Bestimmung, Bahn, Richtung, Gruppe, Übernachtung, Stelle"
Ablauf,"Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Klasse, Reiseform, Wiki-form, Form, Arbeitsleistung, Regelleistung, Leistung, Vorphase, Anfangphase, Hochphase, Schüler, Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Außendienst, Dienst, Wegzeit, Zeit, Reiseführer, Auswärtstätigkeit, Tätigkeit, Arbeit, Betriebsausgabe, Ausgabe, Roman, Interesse, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Lehrkraft, Landschulwoche, Woche, Begriff, Berg, Bürger, Tramp, Dienstreise, Anhalter, Literatur, Regelung, Tag, Jahrhundert, Mensch, Unternehmen, Monat, Erholung, Band, Frau, Geschichte, Soldat, August, Welt, Richter, Beginn, Erledigung, Bestimmung, Durchführung, Bahn, Kraftfahrer, Mitnahme, Autor"
Handlung,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Außendienst, Dienst, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Einzelbeschreibung, Beschreibung, Kennenlernen, Lernen, Schild, Schulverein, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Verbindung, Trampertreffen, Treffen, Arbeitsanweisung, Dienstanweisung, Art, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Land, Deutschland, Teil, Transportmittel, Ziel, Privatwirtschaft, Regelung, Eisenbahn, Schiff, Mensch, Unternehmen, Österreich, Schweiz, Information, Studie, Abenteuer, Welt, Erledigung, Dienststelle, Unterweisung, Bestandteil, Durchführung, Bahn, Richtung, Verbreitung, Verbrechen"
Tätigkeit,"Fahrt, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Ort, Dienstgeschäft, Haustürgeschäft, Arbeitspflicht, Pflicht, Auswärtstätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Kennenlernen, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Dienstgang, Unterrichtsgang, Tramper-bewegung, Hippie-bewegung, Treffen, Reisegrund, Grund, Unterhaltungsbetrieb, Betrieb, Beurteilung, Art, Familie, Berg, Dienstreise, Land, Deutschland, Arbeitgeber, Teil, Ziel, Regelung, Eisenbahn, Mensch, Unternehmen, Österreich, Schweiz, Abenteuer, Erledigung, Unterweisung, Durchführung, Bahn, Richtung, Stelle, Verbreitung"
Rang,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Leistung, Schule, Dienst, Sicherheit, Arbeitsort, Ort, Tätigkeit, Erziehungsarbeit, Arbeit, Strandaufenthalt, Aufenthalt, Schild, Science-fiction-roman, Roman, Organisation, Dienstgang, Unterrichtsgang, Grund, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Teil, Transportmittel, Wohnung, Privatwirtschaft, Regelung, Schiff, Reiseziel, Mensch, Arbeitsstätte, Schweiz, Verb, Information, Geschichte, Soldat, Gesellschaft, Welt, Erledigung, Bestandteil, Bestimmung, Bezug, Bahn, Richtung, Gruppe, Übernachtung, Verbreitung, Verbrechen"
Gebiet,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Leistung, Vorphase, Anfangphase, Hochphase, Schule, Dienst, Arbeitsort, Ort, Erziehungsarbeit, Arbeit, Strandaufenthalt, Aufenthalt, Schulbusschild, Schild, Roman, Organisation, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Unterhaltungsbetrieb, Betrieb, Reiseart, Art, Gastfamilie, Familie, Inselsberg, Berg, Land, Deutschland, Teil, Transportmittel, Wohnung, Bedeutung, Europa, Schiff, Kontinent, Reiseziel, Mensch, Arbeitsstätte, Österreich, Schweiz, Band, Frau, Geschichte, Soldat, Asien, Erledigung, Bestimmung, Bahn, Richtung, Gruppe, Übernachtung"
Anzahl,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Außendienst, Dienst, Sicherheit, Ort, Tätigkeit, Betriebsausgabe, Ausgabe, Schild, Roman, Schulverein, Verein, Dienstgang, Unterrichtsgang, Verbindung, Reisegrund, Grund, Gefährdungsbeurteilung, Beurteilung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Dienstreise, Teil, Wohnung, Bedeutung, Privatwirtschaft, Regelung, Eisenbahn, Schiff, Zahl, Mensch, Unternehmen, Schweiz, Band, Verb, Information, Abenteuer, Soldat, Gesellschaft, Bestandteil, Bezug, Bahn, Gruppe, Milliarde, Million, Stelle, Verbreitung, Verbrechen"
Teileinheit,"Fahrt, Staat, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Jahr, Außendienst, Dienst, Sicherheit, Zeit, Ort, Tätigkeit, Roman, Schulverein, Verein, Dienstgang, Unterrichtsgang, Verbindung, Trampertreffen, Treffen, Grund, Vorschuss, Reiseart, Art, Woche, Rechtsbegriff, Begriff, Gastfamilie, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Teil, Wohnung, Bedeutung, Regelung, Eisenbahn, Rahmen, Schiff, Mensch, Unternehmen, Monat, Verb, Information, Abenteuer, Soldat, Gesellschaft, Bezug, Bahn, Gruppe, Verbreitung, Verbrechen"
Menge,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Außendienst, Dienst, Sicherheit, Arbeitsort, Ort, Tätigkeit, Arbeit, Aufenthalt, Roman, Schulverein, Verein, Organisation, Dienstgang, Unterrichtsgang, Verbindung, Reisegrund, Grund, Betrieb, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Dienstreise, Teil, Transportmittel, Wohnung, Bedeutung, Regelung, Eisenbahn, Rahmen, Schiff, Mensch, Arbeitsstätte, Unternehmen, Verb, Information, Frau, Abenteuer, Soldat, Gesellschaft, Bestimmung, Bezug, Bahn, Gruppe, Verbreitung, Verbrechen"
Vorgang,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Arbeitsleistung, Regelleistung, Leistung, Dienst, Reiseführer, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Schild, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Art, Rechtsbegriff, Begriff, Familie, Inselsberg, Berg, Ziel, Bedeutung, Literatur, Regelung, Zahl, Mensch, Unternehmen, Erholung, Frau, Geschichte, Abenteuer, Welt, Richter, Erledigung, Bestimmung, Durchführung, Bahn, Richtung, Mitnahme, Stelle"
Mittel,"Taggeld, Nächtigungsgeld, Kilometergeld, Trennungsgeld, Geld, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Fahrtkosten, Übernachtungskosten, Werbungskosten, Kosten, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Leistung, Personenverkehrsaufwand, Zeitaufwand, Aufwand, Schulprogramm, Fahrtenprogramm, Programm, Schule, Dienst, Arbeitsort, Ort, Erziehungsarbeit, Arbeit, Strandaufenthalt, Aufenthalt, Reiseverkehrsmittel, Verkehrsmittel, Schulbusschild, Schild, Organisation, Nielsen, Passen, Unterhaltungsbetrieb, Betrieb, Land, Reisekosten, Deutschland, Auto, Transportmittel, Wohnung, Eisenbahn, Schiff, Reiseziel, Arbeitsstätte, Österreich, Schweiz, Erledigung, Bestimmung, Bahn, Richtung, Übernachtung"
Werkzeug,"Staat, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsleistung, Regelleistung, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schulbus, Reiseverkehrsmittel, Verkehrsmittel, Schulbusschild, Schild, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Art, Familie, Dienstreise, Auto, Teil, Transportmittel, Wohnung, Autofahrer, Eisenbahn, Schiff, Reiseziel, Mensch, Arbeitsstätte, Information, Erledigung, Dienststelle, Bestimmung, Bahn, Richtung, Übernachtung, Stelle"
Truppenteil,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Arbeitszeit, Austauschjahr, Jahr, Außendienst, Dienst, Wegzeit, Zeit, Arbeitsort, Ort, Reiseführer, Arbeit, Aufenthalt, Roman, Verein, Hochkulturschema, Trivialschema, Trampertreffen, Treffen, Grund, Betrieb, Reiseart, Art, Landschulwoche, Woche, Rechtsbegriff, Begriff, Gastfamilie, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Land, Deutschland, Bedeutung, Rahmen, Jahrhundert, Arbeitsstätte, Unternehmen, Monat, Österreich, Schweiz, Gesellschaft, August, Richter, Gruppe"
Ordnung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Reisesicherheit, Sicherheit, Reiseführer, Auswärtstätigkeit, Tätigkeit, Arbeit, Science-fiction-roman, Roman, Interesse, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Tramper-bewegung, Hippie-bewegung, Betrieb, Arbeitsanweisung, Dienstanweisung, Reiseart, Art, Gastfamilie, Familie, Berg, Wandererlass, Fahrtenerlass, Wohlfahrtsverband, Caritasverband, Schülersammelliste, Schülerliste, Bedeutung, Regelung, Mensch, Unternehmen, Verb, Information, Frau, Geschichte, Welt, Richter, Bestimmung, Durchführung, Bahn, Stelle, Verbreitung, Verbrechen"
Beziehung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Staat, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Form, Arbeitsleistung, Regelleistung, Leistung, Arbeitszeit, Klassenfahrt, Außendienst, Dienst, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Schulbusschild, Schild, Roman, Dienstgang, Unterrichtsgang, Flug, Straßenverbindung, Verbindung, Reiseart, Art, Gastfamilie, Familie, Dienstreise, Land, Deutschland, Bedeutung, Europa, Rahmen, Kontinent, Mensch, Österreich, Kraftfahrzeug, Verb, Frau, Asien, Welt, Weblink, Erledigung, Bestimmung, Bezug"
Kanton,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schild, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Art, Familie, Dienstreise, Land, Deutschland, Teil, Transportmittel, Wohnung, Europa, Schiff, Kontinent, Reiseziel, Mensch, Arbeitsstätte, Österreich, Schweiz, Information, Asien, Erledigung, Dienststelle, Bestimmung, Bahn, Richtung, Übernachtung, Stelle"
Konzept,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schulprogramm, Fahrtenprogramm, Programm, Schule, Außendienst, Dienst, Sicherheit, Tätigkeit, Schild, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Hochkulturschema, Trivialschema, Grund, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Dienstreise, Teil, Wohnung, Privatwirtschaft, Regelung, Schiff, Mensch, Schweiz, Verb, Information, Geschichte, Soldat, Gesellschaft, Welt, Bestandteil, Bezug, Bahn, Gruppe, Verbreitung, Verbrechen"
Schicht,"Fahrt, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schule, Dienst, Sicherheit, Tätigkeit, Schild, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Grund, Arbeitsanweisung, Dienstanweisung, Vorschuss, Reiseart, Art, Gastfamilie, Familie, Land, Deutschland, Teil, Wohnung, Europa, Privatwirtschaft, Regelung, Schiff, Kontinent, Mensch, Österreich, Schweiz, Verb, Information, Geschichte, Soldat, Gesellschaft, Asien, Welt, Bestandteil, Bezug, Bahn, Gruppe, Verbreitung, Verbrechen"
