labels,words,scores
Betrieb,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Klassenfahrt, Außendienst, Dienst, Flug, Reisen, Tramper-bewegung, Hippie-bewegung, Unterhaltungsbetrieb, Dienstreise",0.8404120297127945
Ausdruck,"Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Arbeit, Betriebsausgabe, Ausgabe, Aufenthalt, Betrieb, Arbeitsstätte, Stelle, Richtung, Bundesland",0.8349162927497473
Wechsel,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Klassenfahrt, Flug, Reisen, Tramper-bewegung, Hippie-bewegung, Schulwanderung, Information",0.8316607015211261
Verfassung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Reise, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Klassenfahrt, Schild, Flug, Reisen, Tramper-bewegung, Hippie-bewegung, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn",0.8308799650593447
Sternbild,"Schulbus, Schulbusschild, Schild, Auto, Autofahrer, Kraftfahrzeug",0.8268705109755198
Gliederung,"Zweck, Reiseform, Wiki-form, Form, Wohlfahrtsverband, Caritasverband, Bedeutung, Unternehmen, Bahn",0.826614975101418
Phase,"Fahrt, Vorphase, Anfangphase, Hochphase, Außendienst, Dienst, Tramper-bewegung, Hippie-bewegung, Unterhaltungsbetrieb, Betrieb, Dienstreise",0.8219145113771612
Wert,"Klasse, Zweck, Form, Schule, Dienst, Ort, Betriebsausgabe, Ausgabe, Grund, Art, Zahl, Gesellschaft, Gruppe, Milliarde, Million, Stelle",0.8206929383185828
Sprache,"Zweck, Ort, Weltreiseführer, Reiseführer, Gefährdungsbeurteilung, Beurteilung, Verb, Information, Richter, Stelle",0.808925986289978
Bedeutungen,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Arbeitszeit, Schulbusschild, Schild, Bedeutung, Eisenbahn, Rahmen, Unternehmen, Kraftfahrzeug, Verb, Abenteuer, Bahn",0.8063021205250072
Zusammenhang,"Regelarbeitszeit, Arbeitszeit, Schulbusschild, Schild, Auto, Rahmen, Kraftfahrzeug",0.8057783458914075
Monatsblutung,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Sicherheitsregel, Regel",0.8046515733003616
Darstellung,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Schulbusschild, Schild, Science-fiction-roman, Roman, Hochkulturschema, Trivialschema, Art, Rechtsbegriff, Begriff, Familie, Bedeutung, Zahl, Jahrhundert, Unternehmen, Kraftfahrzeug, Geschichte, Welt, Bahn, Auto, Bestimmung",0.7993532643860706
Betriebsstätte,"Zweck, Ort, Betriebsausgabe, Ausgabe, Science-fiction-roman, Roman, Reisegrund, Grund, Beurteilung, Teil, Bahn, Stelle",0.7993087603729663
Aufbau,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Schild, Bedeutung, Eisenbahn, Unternehmen, Abenteuer, Bahn, Fahrt, Wagenklasse",0.7903738209169553
Anstrengung,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Dienstgang, Unterrichtsgang, Art, Familie, Land, Deutschland, Mensch, Österreich, Schweiz, Erledigung",0.7900409223647595
Gelände,"Reisegrund, Grund, Inselsberg, Berg, Bedeutung",0.7894201636314392
Folge,"Zweck, Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Ort, Weltreiseführer, Reiseführer, Ausgabe, Schild, Gefährdungsbeurteilung, Beurteilung, Familie, Schülersammelliste, Schülerliste, Dienstreise, Deutschland, Teil, Verb, Information, Richter, Bundesland, Bahn, Stelle",0.788864760974822
Form,"Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Dienstgeschäft, Haustürgeschäft, Schulbusschild, Schild, Arbeitgeber, Bedeutung, Eisenbahn, Schiff, Unternehmen, Verb, Abenteuer, Bahn",0.7782494450518698
Gemütszustand,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Weltreise, Klassenfahrt, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Weltumrundung",0.777405922325919
Betätigung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Weltreise, Klassenfahrt, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Weltumrundung",0.777405922325919
Ergebnis,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Hauptmotivation, Prestigemotivation, Motivation, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Ort, Reiseführer, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Kennenlernen, Lernen, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Beurteilung, Art, Familie, Dienstreise, Land, Deutschland, Teil, Mensch, Österreich, Schweiz, Verb, Richter, Erledigung, Bundesland, Bahn, Stelle",0.7734618853825935
Anstellung,"Fahrtzweck, Erziehungszweck, Zweck, Arbeitsort, Ort, Arbeit, Aufenthalt, Betrieb, Arbeitsanweisung, Dienstanweisung, Ziel, Arbeitsstätte, Bestimmung, Richtung, Stelle",0.7731911555832908
Geologie,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Schulbusschild, Schild, Roman, Reiseart, Art, Gastfamilie, Familie, Land, Deutschland, Teil, Österreich, Soldat, Gruppe",0.7723881159686832
Abbildung,"Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Schulbusschild, Schild, Roman, Hochkulturschema, Trivialschema, Grund, Reiseart, Art, Rechtsbegriff, Begriff, Gastfamilie, Familie, Teil, Bedeutung, Eisenbahn, Zahl, Unternehmen, Kraftfahrzeug, Abenteuer, Soldat, Welt, Bahn, Gruppe, Milliarde, Stelle",0.7694987485950959
Zeitraum,"Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Landschulwoche, Woche, Tag, Jahrhundert, Monat, August",0.76390271253056
Liste,"Schulprogramm, Fahrtenprogramm, Programm, Außendienst, Dienst, Weltreiseführer, Reiseführer, Beurteilung, Schülersammelliste, Schülerliste, Dienstreise, Deutschland, Verb, Information, Richter, Bundesland, Bahn, Stelle",0.7624199375798448
Anweisung,"Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Information, Richter, Stelle",0.7610013158548445
Bewegung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Forschungsweltreise, Weltreise, Klassenfahrt, Schulausflug, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Weltumrundung",0.7601206511615255
Zeitspanne,"Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Wegzeit, Zeit, Woche, Tag, Jahrhundert, Monat, Geschichte, August, Beginn",0.7560949925270436
Arbeit,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Arbeitsleistung, Regelleistung, Leistung, Arbeitspflicht, Pflicht, Erziehungsarbeit, Kennenlernen, Lernen, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Land, Deutschland, Teil, Mensch, Österreich, Schweiz, Frau, Soldat, Erledigung, Gruppe",0.7500185234229003
Betriebsamkeit,"Fahrt, Außendienst, Dienst, Tramper-bewegung, Hippie-bewegung, Unterhaltungsbetrieb, Betrieb, Dienstreise",0.7483470812439919
Verhältnis,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsleistung, Regelleistung, Leistung, Klassenfahrt, Außendienst, Dienst, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Schild, Dienstgang, Unterrichtsgang, Straßenverbindung, Verbindung, Art, Familie, Dienstreise, Land, Deutschland, Bedeutung, Rahmen, Mensch, Österreich, Schweiz, Welt, Weblink, Erledigung, Bezug, Erledigung, Teil, Gruppe, Hippie-bewegung, Wohlfahrtsverband, Austauschreise, Schulwanderung, Übernachtungskosten",0.745968901924063
Zahl,"Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Arbeit, Betriebsausgabe, Ausgabe, Aufenthalt, Verein, Reisegrund, Grund, Betrieb, Beurteilung, Vorschuss, Reiseart, Art, Familie, Dienstreise, Teil, Wohnung, Schiff, Arbeitsstätte, Unternehmen, Verb, Gesellschaft, Bezug, Bahn, Gruppe, Milliarde, Million, Stelle",0.7415855823574988
Disziplin,"Mitfahren, Abgefahren, Fahren, Fernflug, Flug",0.7401531100273132
Personengruppe,"Zweck, Schulverein, Verein, Dienstgang, Unterrichtsgang, Straßenverbindung, Verbindung, Land, Mensch, Welt, Weblink",0.7394897970286283
Berufstätigkeit,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Grund, Unterhaltungsbetrieb, Betrieb, Dienstreise, Ziel, Regelung, Eisenbahn, Unternehmen, Abenteuer, Erledigung, Durchführung, Richtung, Stelle",0.7375285063665791
Geschehnis,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Grund, Unterhaltungsbetrieb, Betrieb, Dienstreise, Ziel, Regelung, Eisenbahn, Unternehmen, Abenteuer, Erledigung, Durchführung, Richtung, Stelle",0.7375285063665791
Aktion,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Außendienst, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Grund, Unterhaltungsbetrieb, Betrieb, Dienstreise, Ziel, Regelung, Eisenbahn, Unternehmen, Abenteuer, Erledigung, Durchführung, Richtung, Stelle",0.7375285063665791
Veränderung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Schulreise, Abi-reise, Matura-reise, Austauschreise, Reise, Weltreise, Klassenfahrt, Fernflug, Flug, Mitreisen, Auslandreisen, Reisen, Tramper-bewegung, Hippie-bewegung, Dienstreise, Geschäftsreise, Schulwanderung, Information, Weltumrundung",0.7364616667538372
Beziehung,"Schulfahrt, Schülerfahrt, Studienfahrt, Frauenfahrt, Fahrt, Staat, Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Form, Arbeitsleistung, Regelleistung, Leistung, Arbeitszeit, Klassenfahrt, Außendienst, Dienst, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Schulbusschild, Schild, Roman, Dienstgang, Unterrichtsgang, Flug, Straßenverbindung, Verbindung, Reiseart, Art, Gastfamilie, Familie, Dienstreise, Land, Deutschland, Bedeutung, Europa, Rahmen, Kontinent, Mensch, Österreich, Kraftfahrzeug, Verb, Frau, Asien, Welt, Weblink, Erledigung, Bestimmung, Bezug",0.7360676007090062
Verkehr,"Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Fernflug, Flug",0.7352311412493387
Werkzeug,"Staat, Wagenklasse, Beförderungsklasse, Klasse, Fahrtzweck, Erziehungszweck, Zweck, Arbeitsleistung, Regelleistung, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Musterschule, Schule, Außendienst, Dienst, Arbeitsort, Ort, Pflicht, Erziehungsarbeit, Arbeit, Lernen, Strandaufenthalt, Aufenthalt, Schulbus, Reiseverkehrsmittel, Verkehrsmittel, Schulbusschild, Schild, Verein, Einsatzorganisation, Organisation, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Art, Familie, Dienstreise, Auto, Teil, Transportmittel, Wohnung, Autofahrer, Eisenbahn, Schiff, Reiseziel, Mensch, Arbeitsstätte, Information, Erledigung, Dienststelle, Bestimmung, Bahn, Richtung, Übernachtung, Stelle",0.7348002720583718
Stück,"Programm, Zeit, Reiseführer, Schulbusschild, Schild, Reisegrund, Grund, Gefährdungsbeurteilung, Beurteilung, Familie, Berg, Teil, Bedeutung, Privatwirtschaft, Schweiz, Band, Richter, Bestandteil, Bestimmung, Bahn, Stelle",0.7306223817571047
Zeichen,"Klasse, Zweck, Form, Schule, Dienst, Ort, Reiseführer, Betriebsausgabe, Ausgabe, Grund, Beurteilung, Art, Deutschland, Bedeutung, Zahl, Verb, Information, Gesellschaft, Richter, Bundesland, Bahn, Gruppe, Milliarde, Million, Stelle",0.7216733625089218
Aufzählung,"Dienst, Einzelbeschreibung, Beschreibung, Verein, Einsatzorganisation, Organisation",0.7215460817019145
Position,"Zweck, Ort, Ziel, Bestimmung, Richtung, Stelle",0.7198350324479785
Gesetz,"Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Schulbusschild, Schild, Dienstgang, Unterrichtsgang, Schiff, Mensch, Frau, Gesellschaft",0.7197320979546434
Organisation,"Zweck, Form, Außendienst, Dienst, Roman, Schulverein, Verein, Einsatzorganisation, Dienstgang, Unterrichtsgang, Straßenverbindung, Verbindung, Reiseart, Art, Gastfamilie, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Land, Mensch, Welt, Weblink",0.7179479961809905
Truppenteil,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Wagenklasse, Beförderungsklasse, Klasse, Zweck, Reiseform, Wiki-form, Form, Musterschule, Schule, Arbeitszeit, Austauschjahr, Jahr, Außendienst, Dienst, Wegzeit, Zeit, Arbeitsort, Ort, Reiseführer, Arbeit, Aufenthalt, Roman, Verein, Hochkulturschema, Trivialschema, Trampertreffen, Treffen, Grund, Betrieb, Reiseart, Art, Landschulwoche, Woche, Rechtsbegriff, Begriff, Gastfamilie, Familie, Wohlfahrtsverband, Caritasverband, Dienstreise, Land, Deutschland, Bedeutung, Rahmen, Jahrhundert, Arbeitsstätte, Unternehmen, Monat, Österreich, Schweiz, Gesellschaft, August, Richter, Gruppe",0.7168420007431611
Austausch,"Dienstreiseverkehr, Freizeitverkehr, Linienverkehr, Reiseverkehr, Fernflug, Flug, Information",0.7163909943330855
Stelle,"Klasse, Fahrtzweck, Erziehungszweck, Zweck, Leistung, Schule, Dienst, Arbeitsort, Ort, Erziehungsarbeit, Arbeit, Strandaufenthalt, Aufenthalt, Organisation, Unterhaltungsbetrieb, Betrieb, Transportmittel, Wohnung, Schiff, Reiseziel, Arbeitsstätte, Erledigung, Bestimmung, Richtung, Übernachtung",0.7100893651367246
Vermögen,"Wagenklasse, Beförderungsklasse, Klasse, Ort, Reiseführer, Dienstgang, Unterrichtsgang, Beurteilung, Art, Familie, Wohnung, Schiff, Möglichkeit, Mensch, Verb, Welt, Richter, Stelle",0.7085871674740535
Klassifikation,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen",0.7080076649411032
Abteilung,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen",0.7080076649411032
Domäne,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen",0.7080076649411032
Partnern,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen",0.7080076649411032
Gemeinschaft,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen",0.7080076649411032
Zelle,"Fahrt, Fahrtzweck, Erziehungszweck, Zweck, Reiseform, Wiki-form, Form, Sicherheit, Tätigkeit, Science-fiction-roman, Roman, Dienstgang, Unterrichtsgang, Reiseart, Art, Gastfamilie, Familie, Regelung, Mensch, Verb, Information, Geschichte, Verbreitung, Verbrechen",0.7080076649411032
Einrichtung,"Fahrtzweck, Erziehungszweck, Zweck, Programm, Musterschule, Schule, Außendienst, Dienst, Zeit, Reiseführer, Schulbusschild, Schild, Schulverein, Verein, Einsatzorganisation, Organisation, Straßenverbindung, Verbindung, Grund, Arbeitsanweisung, Dienstanweisung, Art, Gastfamilie, Familie, Berg, Wohlfahrtsverband, Caritasverband, Dienstreise, Teil, Transportmittel, Privatwirtschaft, Schiff, Schweiz, Information, Welt, Richter, Dienststelle, Bestandteil, Bestimmung, Bahn, Stelle",0.7075455620732015
Energie,"Transitstaat, Nicht-schengen-staat, Wohnsitzstaat, Staat, Fahrtkosten, Übernachtungskosten, Werbungskosten, Kosten, Wagenklasse, Beförderungsklasse, Klasse, Arbeitsleistung, Regelleistung, Leistung, Personenverkehrsaufwand, Zeitaufwand, Aufwand, Arbeitspflicht, Pflicht, Erziehungsarbeit, Arbeit, Kennenlernen, Lernen, Dienstgang, Unterrichtsgang, Art, Familie, Land, Reisekosten, Deutschland, Mensch, Österreich, Schweiz, Erledigung",0.7065071003829686
Element,"Klasse, Fahrtzweck, Erziehungszweck, Zweck, Schulprogramm, Fahrtenprogramm, Programm, Arbeitszeit, Dienst, Wegzeit, Zeit, Dauer, Weltreiseführer, Reiseführer, Schulbusschild, Schild, Roman, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Arbeitsanweisung, Dienstanweisung, Beurteilung, Art, Gastfamilie, Familie, Inselsberg, Berg, Land, Teil, Privatwirtschaft, Tag, Zahl, Jahrhundert, Mensch, Schweiz, Kraftfahrzeug, Verb, Information, Abenteuer, Gesellschaft, Welt, Richter, Bestandteil, Bestimmung, Bahn, Stelle",0.706177189955245
Bild,"Schulbusschild, Schild, Auto, Kraftfahrzeug, Welt, Bahn",0.7027169863382975
Anordnung,"Reiseform, Wiki-form, Form, Programm, Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Wandererlass, Fahrtenerlass, Wohlfahrtsverband, Caritasverband, Schülersammelliste, Schülerliste, Information, Richter, Bestimmung",0.7026238051407477
Ziffer,"Klasse, Zweck, Form, Schule, Dienst, Ort, Betriebsausgabe, Ausgabe, Grund, Art, Bedeutung, Zahl, Verb, Information, Gesellschaft, Gruppe, Milliarde, Million, Stelle, Information, Stelle, Deutschland, Bezug",0.6986913163806802
Zeitpunkt,"Regelarbeitszeit, Arbeitszeit, Austauschjahr, Jahr, Wegzeit, Zeit, Woche, Tag, Jahrhundert, Monat, Geschichte, Beginn, Asien",0.698411049369054
Bestimmung,"Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Information, Richter",0.6976620694001515
Erklärung,"Weltreiseführer, Reiseführer, Arbeitsanweisung, Dienstanweisung, Information, Richter",0.6976620694001515
Möglichkeit,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Form, Schule, Arbeitsort, Ort, Arbeit, Aufenthalt, Roman, Organisation, Dienstgang, Unterrichtsgang, Betrieb, Reiseart, Art, Gastfamilie, Familie, Teil, Transportmittel, Wohnung, Schiff, Mensch, Arbeitsstätte, Frau, Soldat, Gruppe",0.6968402641707653
Kleidungsstück,"Klasse, Schulprogramm, Fahrtenprogramm, Programm, Arbeitszeit, Dienst, Wegzeit, Zeit, Dauer, Weltreiseführer, Reiseführer, Schulbusschild, Schild, Roman, Dienstgang, Unterrichtsgang, Reisegrund, Grund, Beurteilung, Art, Gastfamilie, Familie, Inselsberg, Berg, Land, Teil, Privatwirtschaft, Tag, Zahl, Jahrhundert, Mensch, Schweiz, Verb, Information, Abenteuer, Gesellschaft, Welt, Richter, Bestandteil, Bestimmung, Bahn, Stelle",0.6966897265637004
Bezeichnung,"Fahrtzweck, Erziehungszweck, Zweck, Form, Leistung, Schulprogramm, Fahrtenprogramm, Programm, Dienst, Zeit, Arbeitsort, Ort, Dienstgeschäft, Haustürgeschäft, Weltreiseführer, Reiseführer, Arbeit, Betriebsausgabe, Ausgabe, Lernen, Aufenthalt, Schulbusschild, Schild, Roman, Treffen, Grund, Betrieb, Arbeitsanweisung, Dienstanweisung, Reiseart, Art, Gastfamilie, Familie, Berg, Schülersammelliste, Schülerliste, Deutschland, Teil, Privatwirtschaft, Arbeitsstätte, Schweiz, Verb, Information, Welt, Richter, Unterweisung, Bundesland, Bestandteil, Bestimmung, Bahn, Stelle, Verbreitung, Transportmittel, Interesse, Unternehmen",0.6957270874797149
Geschäft,"Staat, Klasse, Zweck, Arbeitsleistung, Regelleistung, Leistung, Musterschule, Schule, Dienst, Dienstgeschäft, Haustürgeschäft, Pflicht, Erziehungsarbeit, Arbeit, Einzelbeschreibung, Beschreibung, Kennenlernen, Lernen, Verein, Einsatzorganisation, Organisation, Trampertreffen, Treffen, Teil, Transportmittel, Ziel, Unternehmen, Information, Studie, Erledigung, Dienststelle, Unterweisung, Durchführung, Richtung, Verbreitung, Verbrechen",0.6938691545308479
Vorgang,"Wagenklasse, Beförderungsklasse, Klasse, Zweck, Bundesreisekostengesetz, Einkommensteuergesetz, Arbeitsgesetz, Reiseform, Wiki-form, Form, Arbeitsleistung, Regelleistung, Leistung, Dienst, Reiseführer, Auswärtstätigkeit, Tätigkeit, Erziehungsarbeit, Arbeit, Betriebsausgabe, Ausgabe, Schild, Science-fiction-roman, Roman, Mediumeninteresse, Interesse, Dienstgang, Unterrichtsgang, Unterhaltungsbetrieb, Betrieb, Arbeitsanweisung, Dienstanweisung, Art, Rechtsbegriff, Begriff, Familie, Inselsberg, Berg, Ziel, Bedeutung, Literatur, Regelung, Zahl, Mensch, Unternehmen, Erholung, Frau, Geschichte, Abenteuer, Welt, Richter, Erledigung, Bestimmung, Durchführung, Bahn, Richtung, Mitnahme, Stelle",0.693540959257293
